Gene ID	JuncStart	JuncEnd	SupportReads

TGME49_268220	6633622	6634109	1

TGME49_268210	6639412	6639812	2
TGME49_268210	6639859	6640312	1
TGME49_268210	6640446	6641005	7
TGME49_268210	6641148	6641319	24
TGME49_268210	6641452	6642133	32
TGME49_268210	6642285	6642626	27
TGME49_268210	6642749	6643331	6

TGME49_268200	6650668	6651396	69
TGME49_268200	6651843	6652265	78
TGME49_268200	6651871	6652265	1

TGME49_268182	6662818	6663224	25

TGME49_268176	6668915	6669641	17

TGME49_268170	6671878	6672476	34
TGME49_268170	6671878	6672188	6

TGME49_268035	6681733	6682646	9
TGME49_268035	6682218	6682646	2
TGME49_268035	6682464	6682646	1
TGME49_268035	6684072	6684819	16
TGME49_268035	6684866	6685723	16
TGME49_268035	6684072	6684573	1
TGME49_268035	6686840	6687165	6

TGME49_268010	6707815	6708228	13

TGME49_268000	6723377	6723666	5
TGME49_268000	6723747	6724196	32
TGME49_268000	6724352	6724838	7
TGME49_268000	6724921	6725700	15
TGME49_268000	6725748	6726354	25
TGME49_268000	6726449	6726972	3
TGME49_268000	6727089	6727512	11
TGME49_268000	6727580	6728147	2
TGME49_268000	6728253	6728846	1
TGME49_268000	6728935	6729405	6
TGME49_268000	6729472	6730106	7
TGME49_268000	6730254	6730422	6
TGME49_268000	6730251	6730422	2
TGME49_268000	6730633	6730921	11
TGME49_268000	6730633	6731013	2
TGME49_268000	6732558	6733276	46

TGME49_267970	6745300	6745684	1
TGME49_267970	6746545	6747017	1

TGME49_267960	6750444	6750914	1
TGME49_267960	6751024	6751451	1

TGME49_200250	6761495	6761863	3
TGME49_200250	6761691	6761863	1
TGME49_200250	6761973	6762102	1

TGME49_200260	6765107	6765425	1

TGME49_200290	6775627	6776473	89
TGME49_200290	6775823	6776473	1
TGME49_200290	6776668	6776935	85
TGME49_200290	6777205	6777730	68
TGME49_200290	6777907	6778307	146

TGME49_200295	6779718	6780796	9
TGME49_200295	6780854	6781167	17
TGME49_200295	6779943	6780796	5
TGME49_200295	6780119	6780796	1
TGME49_200295	6781263	6781977	1

TGME49_200300	6784840	6785535	2
TGME49_200300	6785614	6786066	2
TGME49_200300	6786183	6787531	2
TGME49_200300	6787720	6788204	1

TGME49_200310	6793604	6794090	40
TGME49_200310	6794249	6794670	82
TGME49_200310	6794249	6794533	5
TGME49_200310	6794718	6795353	145

TGME49_200320	6796115	6796654	80
TGME49_200320	6796720	6797500	22
TGME49_200320	6796720	6796841	2
TGME49_200320	6797654	6797808	145
TGME49_200320	6797654	6797825	1
TGME49_200320	6797921	6798115	25

TGME49_200330	6804484	6804787	11
TGME49_200330	6804840	6805016	11
TGME49_200330	6805171	6805964	26
TGME49_200330	6806057	6806325	6
TGME49_200330	6806112	6806325	59
TGME49_200330	6806473	6806698	15
TGME49_200330	6806760	6806918	7
TGME49_200330	6806999	6807142	19
TGME49_200330	6807203	6807600	20
TGME49_200330	6807826	6808134	12
TGME49_200330	6808276	6808732	19
TGME49_200330	6809044	6809547	35

TGME49_200340	6813036	6813072	1

TGME49_200350	6817209	6817757	50
TGME49_200350	6817205	6817757	18
TGME49_200350	6818002	6818299	30
TGME49_200350	6818401	6818824	52
TGME49_200350	6818381	6818818	1
TGME49_200350	6818955	6819882	24
TGME49_200350	6818955	6820242	4
TGME49_200350	6820110	6820242	5

TGME49_200370	6826445	6827651	15
TGME49_200370	6827800	6828276	18
TGME49_200370	6828428	6828775	35
TGME49_200370	6828428	6828858	3
TGME49_200370	6828933	6829387	8
TGME49_200370	6829792	6830365	17
TGME49_200370	6830688	6830981	2
TGME49_200370	6830819	6830981	1

TGME49_200385	6836226	6836748	36
TGME49_200385	6839110	6839365	7
TGME49_200385	6839110	6839944	1
TGME49_200385	6839251	6839944	3
TGME49_200385	6840968	6841283	49
TGME49_200385	6841390	6841531	156
TGME49_200385	6843026	6843310	32
TGME49_200385	6843534	6843684	23

TGME49_200400	6850286	6850568	74
TGME49_200400	6850668	6851515	33
TGME49_200400	6850931	6851515	3
TGME49_200400	6851704	6851893	52
TGME49_200400	6851989	6852738	40
TGME49_200400	6852829	6853374	37
TGME49_200400	6853484	6854304	17
TGME49_200400	6854391	6854664	26
TGME49_200400	6854747	6855424	68
TGME49_200400	6855492	6856672	70
TGME49_200400	6856744	6857544	89
TGME49_200400	6857807	6858145	26
TGME49_200400	6858209	6858666	40
TGME49_200400	6858711	6859424	1
TGME49_200400	6858824	6859424	49
TGME49_200400	6860479	6861815	71
TGME49_200400	6862383	6863070	91

TGME49_200430	6873423	6873986	6
TGME49_200430	6873423	6873712	1
TGME49_200430	6874055	6874352	1
TGME49_200430	6874432	6874723	6
TGME49_200430	6874877	6875460	3
TGME49_200430	6875491	6876058	5
TGME49_200430	6876161	6877128	8
TGME49_200430	6877197	6877816	11
TGME49_200430	6877886	6878165	16
TGME49_200430	6878286	6878974	6
TGME49_200430	6879044	6879779	5

TGME49_200440	6885052	6886053	18
TGME49_200440	6885052	6885667	1
TGME49_200440	6885752	6886053	1

TGME49_200450	6890863	6891135	4
TGME49_200450	6891351	6892206	7
TGME49_200450	6892264	6892891	6
TGME49_200450	6893003	6893641	7
TGME49_200450	6893757	6894328	2
TGME49_200450	6894373	6894919	2

TGME49_200460	6900430	6900903	74
TGME49_200460	6900982	6901490	77
TGME49_200460	6901575	6901964	30
TGME49_200460	6901997	6902454	19
TGME49_200460	6902467	6903254	18
TGME49_200460	6903300	6903862	16
TGME49_200460	6903300	6904874	1
TGME49_200460	6903918	6904874	23
TGME49_200460	6904926	6905455	20
TGME49_200460	6904926	6905624	2

TGME49_200470	6908862	6909353	25
TGME49_200470	6909759	6910454	37
TGME49_200470	6909759	6910747	1
TGME49_200470	6910693	6911008	54
TGME49_200470	6911647	6911923	9
TGME49_200470	6911998	6912318	10
TGME49_200470	6911998	6912446	1
TGME49_200470	6912545	6912905	15

TGME49_200480	6917106	6917441	1
